carbohydrate metabolic process
carbohydrate biosynthetic process
carbohydrate derivative biosynthetic process
response to carbohydrate
carbohydrate transport
carbohydrate transmembrane transport
cellular carbohydrate metabolic process
carbohydrate utilization
cellular carbohydrate biosynthetic process
